Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,8.94,9.34,8.63,9.21,20991000,9.21
2012-09-04,8.56,9.93,8.40,8.86,21275000,8.86
2012-08-01,8.49,8.98,8.10,8.56,14994500,8.56
2012-07-02,8.74,9.06,7.97,8.47,24228000,8.44
2012-06-01,8.39,9.00,8.21,8.75,21641800,8.72
2012-05-01,9.74,10.01,8.31,8.55,23637100,8.52
2012-04-02,9.93,10.24,9.31,9.73,28176400,9.66
2012-03-01,10.25,10.75,9.45,10.02,25663900,9.95
2012-02-01,10.27,10.92,10.03,10.17,24087000,10.10
2012-01-03,8.94,10.74,8.89,10.16,33417400,10.06
2011-12-01,9.93,10.11,8.50,8.65,28126900,8.57
2011-11-01,10.22,11.02,8.87,10.02,31224300,9.92
2011-10-03,9.41,11.66,8.45,10.76,48202100,10.62
2011-09-01,12.68,12.88,9.56,9.57,29585100,9.45
2011-08-01,15.08,15.15,11.11,12.80,32353600,12.64
2011-07-01,15.99,16.60,14.50,14.73,22757600,14.51
2011-06-01,16.63,16.67,14.56,15.86,20657300,15.63
2011-05-02,17.27,17.96,15.83,16.81,27652400,16.56
2011-04-01,17.80,18.47,15.88,17.00,29375800,16.72
2011-03-01,16.93,17.75,15.42,17.66,22717800,17.37
2011-02-01,16.66,17.68,15.96,16.85,27344100,16.57
2011-01-03,15.82,16.72,15.60,16.57,43549100,16.27
2010-12-01,13.35,15.63,13.31,15.39,21547500,15.11
2010-11-01,13.19,14.17,12.86,13.13,22615500,12.89
2010-10-01,12.24,13.49,11.81,13.14,31917000,12.87
2010-09-01,10.41,12.25,10.32,12.11,26627500,11.86
2010-08-02,11.35,11.78,9.92,10.22,22174000,10.01
2010-07-01,10.10,11.42,9.81,11.17,27481400,10.91
2010-06-01,11.43,12.12,10.01,10.06,28713100,9.83
2010-05-03,13.50,13.54,10.56,11.64,43424600,11.37
2010-04-01,14.40,15.15,13.35,13.43,39229100,13.09
2010-03-01,13.25,14.82,13.19,14.24,35526200,13.88
2010-02-01,12.99,13.90,12.61,13.30,37629900,12.96
2010-01-04,16.47,17.60,12.26,12.73,55728600,12.38
2009-12-01,12.75,16.51,12.64,16.12,31222700,15.68
2009-11-02,12.54,13.80,12.06,12.52,24982300,12.18
2009-10-01,13.36,15.11,11.89,12.42,41460200,12.05
2009-09-01,12.05,14.84,11.29,13.12,30461500,12.73
2009-08-03,12.17,13.88,12.02,12.05,36822200,11.69
2009-07-01,10.48,11.88,8.96,11.76,38895900,11.38
2009-06-01,9.50,12.38,9.31,10.33,43895300,10.00
2009-05-01,9.09,10.98,8.33,9.22,36283400,8.93
2009-04-01,7.14,9.39,7.03,9.07,39426200,8.75
2009-03-02,6.05,8.20,4.97,7.34,63978300,7.08
2009-02-02,7.77,8.90,5.70,6.23,29199700,6.01
2009-01-02,11.36,12.44,7.74,7.79,30078900,7.36
2008-12-01,10.18,11.46,7.46,11.26,25474900,10.64
2008-11-03,11.83,12.57,6.80,10.76,27354100,10.17
2008-10-01,22.35,22.35,9.00,11.50,32290200,10.72
2008-09-02,31.75,32.00,20.93,22.58,19154500,21.04
2008-08-01,33.75,33.75,30.65,32.13,10185500,29.94
2008-07-01,35.28,35.66,31.02,33.75,17425100,31.28
2008-06-02,40.48,44.24,34.88,35.62,13591100,33.02
2008-05-01,34.67,44.77,33.65,40.59,15743400,37.62
2008-04-01,36.18,39.44,33.76,34.78,11309000,32.24
2008-03-03,37.17,39.67,33.80,36.06,16044700,33.26
2008-02-01,33.67,39.62,31.90,37.14,14882300,34.26
2008-01-02,36.46,36.78,26.69,33.09,16898800,30.36
2007-12-03,36.48,37.98,33.22,36.55,8942600,33.54
2007-11-01,39.21,39.35,34.52,36.37,11610100,33.37
2007-10-01,39.13,40.70,36.68,39.59,11858900,36.33
2007-09-04,36.35,39.50,33.23,39.12,13003600,35.74
2007-08-01,37.80,38.43,30.25,36.53,18641900,33.37
2007-07-02,40.68,48.77,37.25,38.20,26595400,34.75
2007-06-01,41.40,42.90,37.84,40.53,10925100,36.86
2007-05-01,35.64,41.55,34.39,41.28,16588100,37.55
2007-04-02,34.08,36.50,33.63,35.49,9870200,32.12
2007-03-01,32.71,34.56,31.61,33.90,9447300,30.68
2007-02-01,32.54,36.05,32.07,33.41,12043100,30.24
2007-01-03,30.05,32.62,28.09,32.30,9861900,29.23
2006-12-01,31.18,31.33,28.86,30.01,5528400,27.02
2006-11-01,29.00,31.24,27.69,31.17,7324700,27.92
2006-10-02,28.04,28.96,26.39,28.91,10531900,25.76
2006-09-01,28.73,29.59,26.60,28.04,6697500,24.99
2006-08-01,30.00,30.32,27.61,28.59,5318300,25.48
2006-07-03,33.13,34.00,29.10,29.95,7315100,26.55
2006-06-01,31.81,33.11,28.55,32.36,6409000,28.69
2006-05-01,34.22,36.96,30.11,31.72,8194500,28.12
2006-04-03,30.76,35.95,30.64,33.78,9156100,29.82
2006-03-01,29.35,31.48,28.39,30.56,4645400,26.98
2006-02-01,31.47,32.20,29.07,29.32,5739800,25.88
2006-01-03,29.59,32.17,28.40,31.50,7154700,27.67
2005-12-01,27.75,29.84,27.65,29.57,4626800,25.98
2005-11-01,24.33,28.09,24.27,27.41,6127000,24.08
2005-10-03,24.42,24.57,22.28,24.29,6549700,21.21
2005-09-01,26.87,27.47,23.81,24.42,5715200,21.32
2005-08-01,28.15,29.98,26.56,26.79,4622700,23.39
2005-07-01,26.25,29.00,25.55,28.05,5264200,24.37
2005-06-01,27.18,28.55,25.91,26.13,4655000,22.70
2005-05-02,29.14,29.76,26.03,27.10,5050200,23.54
2005-04-01,30.60,31.80,28.27,29.02,5878600,25.08
2005-03-01,32.11,32.29,29.45,30.39,5264200,26.26
2005-02-01,29.73,32.17,28.90,32.12,5162200,27.76
2005-01-03,31.80,31.80,28.01,29.51,6623800,25.37
2004-12-01,33.99,34.50,30.63,31.41,5806400,27.01
2004-11-01,32.65,34.99,31.61,33.98,4031000,29.22
2004-10-01,33.93,34.60,31.10,32.50,4853300,27.81
2004-09-01,32.20,33.70,30.27,33.59,5619000,28.75
2004-08-02,31.80,33.14,29.51,32.38,3510500,27.71
2004-07-01,32.93,33.25,29.44,32.03,4455800,27.28
2004-06-01,31.30,33.88,30.41,33.03,4742100,28.13
2004-05-03,30.75,31.87,28.51,31.30,6819100,26.66
2004-04-01,34.67,36.60,30.50,30.75,7615600,26.06
2004-03-01,37.67,38.58,32.63,34.69,5160000,29.40
2004-02-02,34.22,38.15,33.36,37.47,5233300,31.76
2004-01-02,38.00,39.44,32.60,34.18,7465900,28.84
2003-12-01,33.00,38.92,32.63,38.00,5195600,32.07
2003-11-03,31.65,33.50,31.18,32.81,4083300,27.69
2003-10-01,26.30,32.54,26.27,31.57,5228600,26.52
2003-09-02,28.85,29.50,26.16,26.16,4247100,21.97
2003-08-01,27.77,28.91,26.22,28.56,3241300,23.99
2003-07-01,25.50,27.90,24.00,27.77,4035000,23.19
2003-06-02,25.23,27.22,24.41,25.50,3366500,21.30
2003-05-01,22.93,24.80,21.83,24.61,3415600,20.55
2003-04-01,19.38,23.22,18.86,22.93,4636100,19.15
2003-03-03,20.50,21.89,18.45,19.38,3835600,16.08
2003-02-03,19.90,21.04,19.17,20.50,3496600,17.01
2003-01-02,23.03,24.75,19.55,19.77,4955200,16.28
2002-12-02,26.25,26.37,22.40,22.78,3210200,18.75
2002-11-01,21.95,25.67,21.86,25.55,3554300,21.03
2002-10-01,19.60,23.90,17.62,22.06,4708300,18.04
2002-09-03,24.45,24.50,18.35,19.30,5634200,15.79
2002-08-01,26.95,27.80,23.90,25.09,3706800,20.52
2002-07-01,33.40,33.80,22.75,27.05,5230500,22.13
2002-06-03,35.13,35.28,30.17,33.15,4462300,26.96
2002-05-01,34.00,36.85,33.21,34.98,2856200,28.45
2002-04-01,37.74,39.09,33.20,34.03,3826100,27.55
2002-03-01,37.32,39.75,36.58,37.74,3796400,30.56
2002-02-01,35.85,38.51,33.39,37.57,4056600,30.42
2002-01-02,35.90,38.58,33.34,35.85,4183500,28.90
2001-12-03,38.60,40.50,34.00,35.55,3724200,28.66
2001-11-01,32.75,38.89,31.35,38.60,2990700,31.11
2001-10-01,31.01,35.24,29.82,32.27,3561800,26.01
2001-09-04,37.50,39.01,27.36,31.01,5713400,24.88
2001-08-01,39.08,39.65,35.17,38.12,2809700,30.59
2001-07-02,40.00,42.00,36.60,39.23,3431600,31.36
2001-06-01,43.15,44.98,36.50,40.00,3740900,31.97
2001-05-01,41.40,45.71,39.86,43.15,3823800,34.49
2001-04-02,35.95,42.50,33.75,41.40,5042100,32.97
2001-03-01,35.76,39.58,32.02,35.95,4165000,28.63
2001-02-01,37.00,38.45,34.07,35.76,3910400,28.48
2001-01-02,33.50,36.75,30.62,36.74,4094500,29.26
2000-12-01,28.31,35.00,28.31,33.50,4066500,26.57
2000-11-01,28.69,29.56,25.87,28.19,2918400,22.36
2000-10-02,25.31,29.62,23.12,28.69,4669400,22.65
2000-09-01,33.27,34.50,23.25,25.31,5223900,19.99
2000-08-01,30.56,35.00,30.56,33.27,2502400,26.27
2000-07-03,29.12,33.13,27.25,30.25,3206500,23.79
2000-06-01,58.25,62.13,27.87,29.00,4606400,22.81
2000-05-01,64.87,68.44,57.00,58.44,4135500,22.98
2000-04-03,70.25,74.12,62.00,64.87,4111200,25.41
2000-03-01,68.50,73.50,60.81,70.25,4482600,27.52
2000-02-01,70.31,77.44,64.44,68.50,5411900,26.83
2000-01-03,83.00,87.25,69.19,69.69,5803900,27.20
1999-12-01,65.56,83.37,65.56,83.00,4019700,32.40
1999-11-01,60.75,65.87,58.06,65.50,2984900,25.57
1999-10-01,62.06,64.12,57.25,60.75,3188800,23.64
1999-09-01,64.56,66.25,58.63,62.06,2499100,24.15
1999-08-02,59.88,70.87,59.63,64.56,3886600,25.12
1999-07-01,61.88,65.94,58.50,59.88,3205500,23.22
1999-06-01,56.50,67.94,56.50,61.88,3366500,24.00
1999-05-03,62.25,66.94,54.44,55.00,4571900,21.33
1999-04-01,41.19,65.62,40.25,62.25,7323300,24.06
1999-03-01,40.50,42.75,35.94,41.19,4036600,15.92
1999-02-01,83.56,90.19,40.00,40.50,4769800,15.65
1999-01-04,74.56,90.12,73.69,83.56,5576500,16.07
1998-12-01,74.25,75.50,69.06,74.56,3251800,14.34
1998-11-02,79.00,80.62,74.12,74.25,3173300,14.28
1998-10-01,70.75,81.25,67.25,79.25,4901100,15.19
1998-09-01,59.88,74.00,59.88,71.00,5093300,13.61
1998-08-03,69.06,69.06,58.00,59.88,3851200,11.48
1998-07-01,66.00,74.00,63.69,69.31,4551200,13.24
1998-06-01,69.37,70.12,62.75,65.94,3952100,12.59
1998-05-01,77.50,78.50,69.37,69.37,2738400,13.25
1998-04-01,68.81,79.31,67.62,77.50,5427900,14.75
1998-03-02,73.37,74.56,68.00,68.81,3533700,13.10
1998-02-02,76.62,78.19,69.25,73.37,3035700,13.97
1998-01-02,70.69,77.00,65.06,76.37,4546100,14.47
1997-12-01,67.25,72.87,66.25,70.37,3380500,13.33
1997-11-03,73.00,74.94,66.00,67.25,3255200,12.74
1997-10-01,82.56,83.94,67.12,73.00,4044600,13.78
1997-09-02,82.25,85.31,78.50,82.00,2351600,15.48
1997-08-01,88.50,89.62,81.31,82.25,2492000,15.53
1997-07-01,75.62,89.50,75.12,88.50,2953500,16.66
1997-06-02,73.62,79.25,72.62,75.37,3036600,14.19
1997-05-01,69.75,74.75,68.50,73.62,2551000,13.86
