Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,671.16,676.75,623.55,635.85,24876400,635.85
2012-09-04,665.76,705.07,656.00,667.10,18297200,667.10
2012-08-01,615.91,680.87,600.25,665.24,13376500,665.24
2012-07-02,584.73,619.87,570.00,610.76,15938700,608.15
2012-06-01,569.16,590.00,548.50,584.00,14077000,581.50
2012-05-01,584.90,596.76,522.18,577.73,18827900,575.26
2012-04-02,601.83,644.00,555.00,583.98,28759100,581.48
2012-03-01,548.17,621.45,516.22,599.55,26486000,596.99
2012-02-01,458.41,547.61,453.98,542.44,22001000,540.12
2012-01-03,409.40,458.24,409.00,456.48,12949100,454.53
2011-12-01,382.54,409.09,377.68,405.00,11030900,403.27
2011-11-01,397.41,408.00,363.32,382.20,15936300,380.57
2011-10-03,380.37,426.70,354.24,404.78,23004900,403.05
2011-09-01,385.82,422.86,366.48,381.32,21301100,379.69
2011-08-01,397.78,399.50,353.02,384.83,25877600,383.18
2011-07-01,335.95,404.50,334.20,390.48,20155000,388.81
2011-06-01,348.87,352.13,310.50,335.67,15563200,334.23
2011-05-02,349.74,351.83,329.42,347.83,12465600,346.34
2011-04-01,351.11,355.13,320.16,350.13,18321700,348.63
2011-03-01,355.47,361.67,326.26,348.51,17982100,347.02
2011-02-01,341.30,364.90,337.72,353.21,18231200,351.70
2011-01-03,325.64,348.60,324.84,339.32,20033500,337.87
2010-12-01,315.27,326.66,314.89,322.56,11634300,321.18
2010-11-01,302.22,321.30,297.76,311.15,17023700,309.82
2010-10-01,286.15,319.00,277.77,300.98,21539200,299.69
2010-09-01,247.47,294.73,246.28,283.75,21298100,282.54
2010-08-02,260.44,264.28,235.56,243.10,16249800,242.06
2010-07-01,254.30,265.99,239.60,257.25,27411400,256.15
2010-06-01,259.69,279.01,242.20,251.53,28231600,250.45
2010-05-03,263.84,267.88,199.25,256.88,33746900,255.78
2010-04-01,237.41,272.46,232.75,261.09,21955000,259.97
2010-03-01,205.75,237.48,205.45,235.00,19541600,234.00
2010-02-01,192.37,205.17,190.85,204.62,21209600,203.75
2010-01-04,213.43,215.59,190.25,192.06,30855100,191.24
2009-12-01,202.24,213.95,188.68,210.73,19068700,209.83
2009-11-02,189.80,208.00,185.57,199.91,15856500,199.06
2009-10-01,185.35,208.71,180.70,188.50,22197500,187.69
2009-09-01,167.99,188.90,164.11,185.35,17906300,184.56
2009-08-03,165.21,172.49,159.42,168.21,14415700,167.49
2009-07-01,143.50,165.00,134.42,163.39,18449100,162.69
2009-06-01,136.47,146.40,132.88,142.43,21282100,141.82
2009-05-01,125.80,135.90,119.38,135.81,17702900,135.23
2009-04-01,104.09,127.20,103.89,125.83,20952600,125.29
2009-03-02,88.12,109.98,82.33,105.12,25963400,104.67
2009-02-02,89.10,103.00,86.51,89.31,27394900,88.93
2009-01-02,85.88,97.17,78.20,90.13,33487900,89.74
2008-12-01,91.30,103.60,84.55,85.35,33800900,84.99
2008-11-03,105.93,111.79,79.14,92.67,44957200,92.27
