Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,8.87,9.65,8.85,9.34,145971400,9.34
2012-09-04,8.00,9.79,7.93,8.83,173058400,8.83
2012-08-01,7.35,8.40,7.10,7.99,104471100,7.98
2012-07-02,8.20,8.21,6.90,7.34,138117600,7.33
2012-06-01,7.12,8.22,6.85,8.18,208388800,8.17
2012-05-01,8.11,8.40,6.72,7.35,201195000,7.34
2012-04-02,9.54,9.78,7.95,8.11,223249900,8.09
2012-03-01,8.09,10.10,7.66,9.57,321398600,9.55
2012-02-01,7.25,8.35,7.21,7.97,311534500,7.95
2012-01-03,5.75,7.50,5.62,7.13,314075000,7.10
2011-12-01,5.37,5.95,4.92,5.56,245117000,5.54
2011-11-01,6.38,6.98,5.03,5.44,290799000,5.42
2011-10-03,6.08,7.43,5.13,6.83,294758000,6.79
2011-09-01,8.18,8.18,6.00,6.12,267167500,6.08
2011-08-01,10.04,10.05,6.01,8.17,394741000,8.12
2011-07-01,10.98,11.14,9.40,9.71,174636000,9.64
2011-06-01,11.71,11.74,10.40,10.96,181170800,10.88
2011-05-02,12.36,12.71,11.29,11.75,126607100,11.66
2011-04-01,13.45,13.88,12.15,12.28,130762000,12.18
2011-03-01,14.32,14.70,13.16,13.33,146247600,13.23
2011-02-01,13.90,14.95,13.79,14.29,154156200,14.17
2011-01-03,13.85,15.31,13.40,13.73,238471100,13.61
2010-12-01,11.17,13.49,10.97,13.34,185220100,13.23
2010-11-01,11.50,12.74,10.91,10.95,199889600,10.85
2010-10-01,13.22,13.66,11.03,11.45,279162700,11.34
2010-09-01,12.64,14.06,12.60,13.10,148410000,12.98
2010-08-02,14.38,14.47,12.18,12.46,144688000,12.33
2010-07-01,14.32,15.72,13.30,14.04,175718000,13.90
2010-06-01,15.58,16.10,14.30,14.37,141844500,14.22
2010-05-03,17.88,18.15,14.80,15.74,236922100,15.57
2010-04-01,18.02,19.86,17.41,17.83,218911700,17.64
2010-03-01,16.74,18.35,16.03,17.85,170231600,17.66
2010-02-01,15.26,16.84,14.25,16.66,233006800,16.47
2010-01-04,15.24,17.19,14.68,15.18,250902600,15.01
2009-12-01,16.04,16.74,14.83,15.06,237233200,14.89
2009-11-02,14.85,16.62,14.12,15.85,163920700,15.66
2009-10-01,16.96,19.10,14.50,14.58,223308800,14.40
2009-09-01,17.70,18.08,16.02,16.92,187141400,16.71
2009-08-03,15.24,18.25,14.82,17.59,298184800,17.37
2009-07-01,13.27,14.79,11.27,14.79,323192000,14.60
2009-06-01,11.41,13.93,11.10,13.20,364632000,13.03
2009-05-01,8.79,15.07,8.55,11.27,577690800,11.12
2009-04-01,6.45,11.58,6.44,8.93,540229900,8.81
2009-03-02,3.61,8.57,3.00,6.82,483075700,6.73
2009-02-02,6.20,7.05,2.53,3.95,509904300,3.89
2009-01-02,13.92,14.81,5.05,6.58,255023700,6.47
2008-12-01,15.59,18.00,12.66,14.08,108571200,13.85
2008-11-03,23.97,24.62,10.01,16.25,131135800,15.63
2008-10-01,34.57,38.50,18.99,24.17,131320100,23.25
2008-09-02,32.73,39.50,25.00,35.00,114674400,33.66
2008-08-01,33.20,34.20,27.72,31.14,61768600,29.36
2008-07-01,23.31,34.50,18.44,32.90,123206000,31.02
2008-06-02,33.84,33.94,22.44,23.87,71291800,22.51
2008-05-01,37.66,40.65,33.25,34.01,39410300,31.45
2008-04-01,39.26,41.50,35.27,37.54,38286900,34.72
2008-03-03,39.74,43.46,34.25,37.91,54601100,35.06
2008-02-01,44.12,45.08,39.54,39.74,41334200,36.15
2008-01-02,41.53,44.50,33.12,44.15,61008100,40.16
2007-12-03,46.25,47.00,40.61,41.26,30753300,37.53
2007-11-01,46.75,47.00,41.73,46.13,38807700,41.36
2007-10-01,50.04,52.96,46.45,48.28,24583000,43.28
2007-09-04,50.62,51.93,48.60,50.27,23451200,45.07
2007-08-01,47.30,52.78,46.52,50.68,37144900,44.87
2007-07-02,49.15,50.20,46.90,47.42,26609100,41.98
2007-06-01,50.75,50.99,48.55,48.89,19772200,43.28
