Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,33.00,36.16,32.70,35.52,38049900,35.52
2012-09-04,29.53,35.25,29.53,32.72,40179600,32.72
2012-08-01,27.30,31.12,26.00,29.71,30611200,29.71
2012-07-02,27.47,27.93,24.91,27.13,35673200,27.12
2012-06-01,25.86,29.31,24.61,27.41,47284700,27.40
2012-05-01,32.92,33.91,25.75,26.51,44882000,26.50
2012-04-02,36.40,37.14,32.46,33.04,38865500,33.02
2012-03-01,33.52,38.40,31.77,36.55,48414400,36.53
2012-02-01,31.27,34.74,31.07,33.32,45939500,33.30
2012-01-03,27.13,32.09,27.13,30.72,56329500,30.69
2011-12-01,27.08,30.14,24.40,26.31,52830000,26.28
2011-11-01,28.92,31.55,23.30,27.48,57651500,27.45
2011-10-03,25.16,34.40,21.40,31.59,71773400,31.55
2011-09-01,30.93,31.05,23.19,25.62,48366800,25.59
2011-08-01,39.34,39.38,25.40,31.05,64634600,31.01
2011-07-01,41.53,43.06,36.92,38.34,36339100,38.29
2011-06-01,40.99,42.00,36.76,41.64,46362800,41.57
2011-05-02,4.60,45.12,4.46,41.15,39117600,41.08
2011-04-01,4.46,4.69,4.35,4.59,41569600,45.82
2011-03-01,4.70,4.70,4.34,4.42,44739400,44.12
2011-02-01,4.86,4.96,4.57,4.68,45697200,46.71
2011-01-03,4.78,5.15,4.72,4.82,65246300,48.11
2010-12-01,4.28,4.85,4.26,4.73,61799300,47.21
2010-11-01,4.18,4.52,4.10,4.20,46147400,41.92
2010-10-01,3.98,4.30,3.91,4.17,58041500,41.62
2010-09-01,3.75,4.02,3.74,3.91,41655500,39.03
2010-08-02,4.19,4.20,3.63,3.71,40882900,37.03
2010-07-01,3.83,4.30,3.62,4.10,51117900,40.92
2010-06-01,3.90,4.07,3.62,3.76,66281700,37.53
2010-05-03,4.46,4.48,3.53,3.96,98170500,39.53
2010-04-01,4.11,5.07,4.02,4.37,94001400,43.62
2010-03-01,3.42,4.41,3.34,4.05,64023300,40.43
2010-02-01,3.36,3.48,3.11,3.40,32082400,33.94
2010-01-04,3.36,3.70,3.14,3.32,60555700,33.14
2009-12-01,4.15,4.21,3.13,3.31,69181700,33.04
2009-11-02,4.10,4.31,3.81,4.11,30096000,41.02
2009-10-01,4.75,5.00,4.00,4.09,47725400,40.82
2009-09-01,4.92,5.02,4.11,4.84,85206800,48.31
2009-08-03,3.29,5.43,3.11,5.00,113333500,49.91
2009-07-01,3.00,3.37,2.55,3.17,45738900,31.64
2009-06-01,3.76,3.77,2.90,2.97,20633200,29.65
2009-05-01,3.11,4.41,2.96,3.72,39052600,37.13
2009-04-01,2.48,4.48,2.43,3.05,53250700,30.44
2009-03-02,1.50,3.89,0.97,2.53,71638200,25.25
2009-02-02,3.39,4.10,1.40,1.50,43749200,14.97
2009-01-02,6.87,7.59,2.80,3.55,27113100,35.43
2008-12-01,7.90,9.00,5.94,6.71,17176700,66.82
2008-11-03,13.65,14.81,3.05,8.29,32025400,82.55
2008-10-01,20.85,23.50,11.54,13.65,16221000,135.93
2008-09-02,19.63,22.53,12.85,20.51,15709600,201.71
2008-08-01,18.95,20.50,16.85,18.99,7661600,186.76
2008-07-01,16.57,22.21,14.01,18.69,13188200,183.81
2008-06-02,21.70,21.86,16.58,16.76,10937100,162.02
2008-05-01,25.23,27.00,21.01,21.89,7782100,211.61
2008-04-01,22.61,27.35,22.18,25.27,9462000,241.20
2008-03-03,23.72,24.36,17.99,21.42,13183400,204.45
2008-02-01,28.28,29.73,23.49,23.71,9378900,226.31
2008-01-02,29.73,29.89,22.36,28.17,13501200,268.88
2007-12-03,33.30,35.29,28.80,29.44,7804300,277.77
2007-11-01,38.62,40.90,29.60,33.30,12923900,314.19
2007-10-01,45.89,48.95,40.44,41.90,5592500,390.24
2007-09-04,46.96,49.00,44.83,46.67,3364400,434.67
2007-08-01,46.40,49.90,44.66,46.88,4715900,436.62
2007-07-02,51.30,52.97,46.50,46.57,3423900,428.74
2007-06-01,54.67,54.75,50.48,51.29,2263700,472.19
2007-05-01,53.80,55.55,52.58,54.49,2497100,501.65
2007-04-02,51.31,54.71,50.41,53.62,2260800,488.73
2007-03-01,49.75,52.50,48.05,51.34,2350500,467.95
2007-02-01,55.13,55.50,49.56,50.37,2161600,459.11
2007-01-03,55.66,56.28,53.50,55.13,1890400,497.57
2006-12-01,49.59,57.00,48.83,55.70,2225900,502.72
2006-11-01,50.55,50.95,49.43,49.59,1542900,447.57
2006-10-02,49.68,51.33,49.28,50.16,1795800,448.29
2006-09-01,49.70,50.35,48.42,49.67,1362600,443.91
2006-08-01,48.31,49.71,47.22,49.35,1211200,441.05
2006-07-03,48.60,49.73,46.22,48.31,1639000,427.41
2006-06-01,49.38,50.41,47.47,48.25,1676000,426.88
2006-05-01,50.00,50.72,48.43,49.30,1674100,436.17
2006-04-03,47.41,49.95,47.15,49.95,1792400,441.92
2006-03-01,46.39,48.01,45.80,47.23,1407100,413.57
2006-02-01,46.59,47.13,44.81,46.37,1507000,406.04
2006-01-03,49.00,49.58,45.63,46.58,1784200,403.56
2005-12-01,48.96,49.73,48.22,48.53,1375900,420.46
2005-11-01,45.95,49.76,45.21,48.55,1670600,420.63
2005-10-03,45.74,46.25,44.00,45.78,1635900,392.80
2005-09-01,43.60,45.87,43.38,45.52,1438800,390.57
2005-08-01,43.60,44.43,42.91,43.77,1578900,375.55
2005-07-01,46.50,46.81,43.50,43.50,1951100,373.24
2005-06-01,47.12,48.10,46.20,46.23,1144600,392.73
2005-05-02,46.96,48.14,45.76,47.11,1211400,400.21
2005-04-01,45.50,47.15,43.80,46.96,1599100,398.93
2005-03-01,47.93,48.68,44.05,44.94,1724800,378.20
2005-02-01,49.30,49.99,47.60,47.72,1477400,401.60
2005-01-03,49.00,49.30,47.25,49.05,1644500,409.13
2004-12-01,45.03,49.06,44.93,48.18,1339900,401.88
2004-11-01,44.45,47.10,44.21,44.75,1513000,373.27
2004-10-01,44.47,45.18,42.10,44.37,1475900,370.10
2004-09-01,46.57,47.47,43.54,44.12,1413800,364.66
2004-08-02,43.17,46.81,42.99,46.58,1023700,384.99
2004-07-01,46.50,46.75,43.55,44.09,1455000,364.41
2004-06-01,46.46,47.62,46.06,46.50,1153700,380.85
2004-05-03,48.10,49.18,44.83,46.43,1492200,380.27
2004-04-01,51.98,52.88,47.85,48.09,1377000,393.87
2004-03-01,50.60,52.05,48.60,51.70,1505400,419.94
2004-02-02,49.50,50.36,47.99,50.26,1229600,408.24
2004-01-02,49.05,51.11,48.54,49.48,1401800,401.91
2003-12-01,47.41,48.64,46.00,48.54,1014600,391.07
2003-11-03,47.60,48.98,44.84,47.03,1206800,378.90
2003-10-01,45.96,49.15,45.74,47.40,1279000,381.88
2003-09-02,43.35,47.48,43.25,45.51,1339600,363.96
2003-08-01,45.08,45.58,42.48,43.35,1221500,346.69
2003-07-01,42.36,48.15,42.35,44.80,1433900,358.28
2003-06-02,41.48,45.72,40.70,42.80,1385500,339.64
2003-05-01,39.05,41.64,38.09,41.02,1508200,325.51
2003-04-01,34.46,40.40,34.46,39.25,1660100,309.88
2003-03-03,33.85,37.20,30.25,34.45,1669100,271.98
2003-02-03,34.38,35.01,31.05,33.34,1543900,263.22
