Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,86.72,87.53,82.10,86.62,7308100,86.62
2012-09-04,85.03,94.28,81.78,86.04,8694100,85.52
2012-08-01,85.00,92.08,82.10,85.33,6557500,84.82
2012-07-02,85.35,87.56,78.25,84.21,8675000,83.70
2012-06-01,85.08,89.87,80.96,84.91,7837800,83.86
2012-05-01,102.81,103.50,86.01,87.62,7734800,86.54
2012-04-02,105.99,109.77,99.80,102.77,6729400,101.50
2012-03-01,114.67,115.38,103.48,106.52,7225200,104.77
2012-02-01,110.75,116.95,109.86,114.21,6246400,112.33
2012-01-03,92.77,114.00,92.77,109.12,8637500,107.32
2011-12-01,97.23,98.00,86.29,90.60,7127300,88.71
2011-11-01,90.00,98.20,86.63,97.88,9238200,95.84
2011-10-03,72.78,97.95,67.54,94.46,11920100,92.49
2011-09-01,91.19,92.83,72.60,73.84,11489200,71.90
2011-08-01,102.43,102.82,79.56,91.00,13922800,88.61
2011-07-01,106.15,112.65,97.28,98.79,9496800,96.20
2011-06-01,104.97,106.93,94.21,106.46,9102900,103.23
2011-05-02,116.24,116.55,100.37,105.80,8574700,102.59
2011-04-01,112.09,116.25,102.16,115.41,6990600,111.91
2011-03-01,103.37,111.98,97.01,111.35,7978500,107.52
2011-02-01,97.35,105.86,96.50,102.93,5998900,99.39
2011-01-03,94.38,97.79,92.30,97.01,6199100,93.68
2010-12-01,85.03,94.89,85.00,93.66,4893700,90.02
2010-11-01,78.97,84.92,78.51,84.60,7246900,81.31
2010-10-01,78.29,81.20,76.51,78.60,8231900,75.54
2010-09-01,67.05,80.08,66.35,78.68,8844300,75.21
2010-08-02,70.74,72.25,63.34,65.16,7225100,62.28
2010-07-01,59.67,70.29,58.06,69.75,9068500,66.67
2010-06-01,60.04,68.35,54.89,60.07,10335700,57.04
2010-05-03,68.37,70.16,55.74,60.76,12539700,57.69
2010-04-01,63.29,72.83,63.29,68.09,9067800,64.65
2010-03-01,57.33,63.71,57.25,62.85,8270800,59.31
2010-02-01,52.82,58.97,50.50,57.05,9860800,53.84
2010-01-04,57.65,64.42,51.03,52.24,12399600,49.30
2009-12-01,59.24,60.25,55.40,56.99,5978500,53.41
2009-11-02,55.70,60.90,54.26,58.39,8399400,54.73
2009-10-01,50.82,61.28,47.50,55.06,11997300,51.61
2009-09-01,44.90,54.71,43.19,51.33,11098600,47.76
2009-08-03,44.68,48.93,43.28,45.31,11819600,42.16
2009-07-01,33.48,44.47,30.01,44.06,16594000,41.00
2009-06-01,36.37,38.90,32.01,33.04,12989600,30.36
2009-05-01,35.87,40.96,33.44,35.46,13931700,32.59
2009-04-01,27.50,36.40,27.44,35.58,16546600,32.70
2009-03-02,24.07,30.99,21.71,27.96,18313000,25.37
2009-02-02,30.10,33.85,23.50,24.61,17410500,22.33
2009-01-02,44.91,47.12,30.06,30.85,16131000,27.99
2008-12-01,38.92,45.70,36.37,44.67,10948700,40.10
2008-11-03,38.82,43.58,32.10,40.99,12786000,36.79
2008-10-01,58.71,59.03,31.95,38.20,14479200,34.29
2008-09-02,71.50,74.50,58.11,59.60,9682500,52.96
2008-08-01,69.67,72.08,67.19,70.73,5845200,62.85
2008-07-01,72.98,75.87,65.85,69.52,9021200,61.78
2008-06-02,82.44,83.65,72.56,73.82,7808400,65.21
2008-05-01,81.92,85.96,80.55,82.64,5256300,73.00
2008-04-01,78.89,85.45,74.38,81.88,7222900,72.33
2008-03-03,72.10,78.63,68.30,78.29,7837000,68.84
2008-02-01,71.15,75.19,67.32,72.33,6701500,63.60
2008-01-02,72.56,72.67,59.60,70.99,9271200,62.42
2007-12-03,71.41,77.26,70.07,72.56,5209800,63.45
2007-11-01,74.29,75.13,67.00,71.90,6771600,62.87
2007-10-01,78.91,82.74,71.63,74.61,6902200,65.24
2007-09-04,75.80,80.17,72.20,78.43,5719300,68.26
2007-08-01,78.61,82.13,70.59,75.77,6659300,65.94
2007-07-02,78.60,87.00,75.25,78.80,9587500,68.58
2007-06-01,78.85,82.89,77.05,78.30,5668100,67.86
2007-05-01,72.60,78.89,71.78,78.58,5456600,68.10
2007-04-02,67.04,74.10,65.86,72.62,6445800,62.94
2007-03-01,63.90,67.72,62.34,67.03,5605900,57.84
2007-02-01,64.80,68.43,63.01,64.43,6901100,55.60
2007-01-03,61.71,64.34,57.98,64.07,7802300,55.29
2006-12-01,62.44,63.95,60.30,61.33,4643700,52.66
2006-11-01,60.71,63.33,58.99,62.03,6931500,53.26
2006-10-02,65.45,70.92,58.82,60.71,10672600,52.13
2006-09-01,66.67,70.40,62.09,65.80,6788100,56.25
2006-08-01,70.12,74.08,64.75,66.35,5659700,56.72
2006-07-03,74.92,75.43,67.10,70.87,5184200,60.59
2006-06-01,72.71,74.95,64.41,74.48,5863700,63.40
2006-05-01,76.20,82.03,71.40,72.95,4977100,62.09
2006-04-03,72.71,80.00,72.56,75.74,5794900,64.47
2006-03-01,73.13,77.21,70.34,71.81,4912000,60.93
2006-02-01,68.10,73.99,66.93,73.08,4309200,62.01
2006-01-03,57.87,68.37,57.05,67.90,4766100,57.61
2005-12-01,58.00,59.75,56.36,57.77,2864600,48.82
2005-11-01,52.60,58.90,52.35,57.78,3578100,48.83
2005-10-03,58.76,59.84,48.25,52.59,6105800,44.44
2005-09-01,55.97,59.88,55.80,58.75,4389200,49.43
2005-08-01,54.20,55.65,52.70,55.49,3327200,46.68
2005-07-01,95.75,100.15,49.50,53.91,6864100,45.35
2005-06-01,93.95,102.98,93.75,95.31,5221500,39.90
2005-05-02,88.22,94.97,87.22,94.11,4075800,39.40
2005-04-01,92.00,92.25,82.61,88.05,6941300,36.86
2005-03-01,94.97,99.96,89.61,91.44,6246300,38.11
2005-02-01,89.60,96.25,89.15,95.05,5002400,39.61
2005-01-03,96.10,97.15,86.40,89.10,7283700,37.13
2004-12-01,91.55,98.72,89.19,97.51,3720300,40.46
2004-11-01,80.90,93.20,80.68,91.55,5014500,37.98
2004-10-01,80.44,81.99,76.75,80.54,5797900,33.42
2004-09-01,72.87,81.30,72.26,80.45,4787300,33.21
2004-08-02,73.24,74.20,68.50,72.70,4732900,30.01
2004-07-01,79.20,79.63,71.05,73.49,4939700,30.34
2004-06-01,75.35,79.60,73.89,79.44,4545200,32.62
2004-05-03,77.90,79.70,72.01,75.35,5574000,30.94
2004-04-01,79.15,84.76,76.99,77.73,5230600,31.92
2004-03-01,76.00,80.04,72.51,79.07,5134900,32.32
2004-02-02,78.25,79.89,75.28,75.75,5533900,30.97
2004-01-02,83.17,85.70,76.75,78.13,6234100,31.94
2003-12-01,76.25,84.95,74.60,83.02,4695100,33.79
2003-11-03,73.46,76.21,71.29,76.05,3794000,30.95
2003-10-01,68.93,78.92,68.90,73.28,6069000,29.82
2003-09-02,71.95,72.90,66.86,68.84,5690100,27.89
2003-08-01,67.57,73.97,65.60,71.83,5642500,29.10
2003-07-01,55.10,68.29,53.10,67.47,7340100,27.33
2003-06-02,52.50,58.25,52.00,55.66,3552100,22.41
2003-05-01,52.60,54.43,50.19,52.15,4434800,21.00
2003-04-01,49.20,54.25,48.98,52.60,4221700,21.18
2003-03-03,47.01,53.30,43.52,49.20,5301100,19.68
2003-02-03,44.35,47.55,41.24,47.00,4100400,18.80
2003-01-02,45.95,48.42,42.61,43.98,3846200,17.59
2002-12-02,49.91,50.84,44.39,45.72,3150400,18.15
2002-11-01,40.80,50.30,40.50,49.90,3671700,19.81
2002-10-01,37.35,43.50,33.75,40.85,5073500,16.22
2002-09-03,43.60,43.94,36.33,37.22,4873600,14.64
2002-08-01,44.40,46.20,40.30,43.64,4081800,17.17
2002-07-01,49.20,49.40,39.05,44.70,5341900,17.59
2002-06-03,52.52,52.98,45.90,48.95,4431700,19.10
2002-05-01,54.62,56.35,51.25,52.27,3887200,20.40
2002-04-01,57.00,59.62,52.22,54.62,4431300,21.32
2002-03-01,55.40,59.99,54.75,56.85,5098200,22.05
2002-02-01,50.50,56.80,47.32,55.51,4455000,21.53
2002-01-02,52.35,54.09,46.75,50.28,3828900,19.50
2001-12-03,47.42,53.24,46.70,52.25,3129100,20.11
2001-11-01,45.20,50.15,43.70,47.42,3931700,18.26
2001-10-01,44.85,49.90,43.35,44.72,4213000,17.22
2001-09-04,50.01,51.75,40.31,44.80,6024100,17.12
2001-08-01,54.85,55.72,49.50,50.00,4016900,19.11
2001-07-02,50.05,55.50,48.77,55.10,4821300,21.05
2001-06-01,54.16,56.50,49.50,50.05,4818000,19.00
2001-05-01,50.20,56.83,48.94,54.16,4929300,20.56
2001-04-02,44.38,51.49,41.50,50.20,4791600,19.06
2001-03-01,41.60,48.00,40.15,44.38,4683100,16.73
2001-02-01,44.22,45.00,39.75,41.60,3025800,15.68
2001-01-02,47.25,49.63,39.81,44.22,4960000,16.67
2000-12-01,39.50,47.94,39.50,47.31,4119000,17.70
2000-11-01,35.06,41.06,34.56,39.31,2871300,14.71
2000-10-02,31.00,36.00,29.56,35.06,3966600,13.12
2000-09-01,36.77,39.63,29.00,31.00,3895200,11.47
2000-08-01,34.13,39.50,34.13,36.77,3249000,13.60
2000-07-03,34.19,38.56,33.94,34.06,3737800,12.60
2000-06-01,38.81,42.50,33.81,33.88,3327700,12.41
2000-05-01,39.44,41.75,37.56,38.25,2737300,14.01
2000-04-03,39.44,44.88,37.00,39.44,4674200,14.45
2000-03-01,35.06,41.63,33.50,39.44,4865500,14.33
2000-02-01,42.75,44.75,34.88,35.06,5099700,12.74
2000-01-03,47.69,55.13,42.44,42.44,4715000,15.42
1999-12-01,46.38,49.19,43.13,47.06,3555000,17.00
1999-11-01,55.31,57.69,45.63,46.38,3919900,16.75
1999-10-01,54.81,58.88,51.56,55.31,3129900,19.98
1999-09-01,57.19,60.69,52.56,54.81,2782300,19.68
1999-08-02,58.63,63.94,55.81,56.63,2766200,20.33
1999-07-01,60.63,62.88,57.50,58.63,2848700,21.05
1999-06-01,54.88,63.81,54.56,60.00,2670800,21.42
1999-05-03,64.37,66.44,54.50,54.88,2773400,19.59
1999-04-01,46.31,66.37,46.31,64.37,5819900,22.98
1999-03-01,46.50,50.88,43.88,45.94,3437400,16.32
1999-02-01,43.44,48.50,42.00,45.56,2973600,16.19
1999-01-04,46.56,53.00,43.06,43.31,4307300,15.39
1998-12-01,49.44,52.19,41.13,46.00,3785600,16.24
1998-11-02,46.00,50.25,45.06,49.44,3381200,17.45
1998-10-01,44.50,48.94,41.94,44.94,3788300,15.86
1998-09-01,42.75,49.50,39.06,44.50,4441300,15.61
1998-08-03,48.63,50.69,41.94,42.00,2975400,14.73
1998-07-01,53.13,56.38,47.94,48.50,3715200,17.01
1998-06-01,54.94,56.81,51.06,52.91,2855000,18.45
1998-05-01,56.94,60.75,54.88,54.94,1757200,19.16
1998-04-01,55.06,58.25,53.00,56.94,2709500,19.86
1998-03-02,54.00,59.25,51.00,55.06,2852200,19.12
1998-02-02,48.81,55.19,48.75,54.56,2656000,18.95
1998-01-02,48.50,49.88,44.50,48.00,3723200,16.67
1997-12-01,48.06,53.00,45.88,48.50,3028500,16.75
1997-11-03,51.81,55.00,44.00,47.94,4707800,16.56
1997-10-01,54.00,60.94,49.75,51.25,2826500,17.70
1997-09-02,58.06,59.94,53.00,53.94,2546400,18.55
1997-08-01,57.25,61.63,57.13,58.06,2484500,19.97
1997-07-01,107.37,115.50,54.31,56.00,3255200,19.26
1997-06-02,97.62,109.37,96.75,107.37,2894100,18.38
1997-05-01,89.00,99.75,88.75,97.62,2833800,16.71
1997-04-01,80.25,90.87,76.37,89.00,2292800,15.24
1997-03-03,78.25,83.75,77.75,80.25,1966400,13.67
1997-02-03,77.50,83.37,76.25,78.25,2310100,13.33
1997-01-02,74.12,79.75,72.50,77.62,3535300,13.23
1996-12-02,79.12,79.62,73.50,75.25,2420200,12.76
1996-11-01,68.87,81.00,68.87,79.12,3314200,13.41
1996-10-01,75.25,77.50,68.25,68.62,3334300,11.63
1996-09-03,68.87,75.87,67.50,75.37,2171900,12.71
1996-08-01,65.87,72.12,65.75,68.87,1981800,11.61
1996-07-01,67.75,70.87,62.75,65.87,3265400,11.11
1996-06-03,65.50,69.75,64.12,67.75,2588900,11.35
1996-05-01,64.12,69.62,62.00,65.62,3148000,11.00
1996-04-01,68.00,71.87,63.63,64.12,2827100,10.75
1996-03-01,66.75,73.87,65.50,68.00,3102700,11.34
1996-02-01,64.37,72.00,61.63,66.75,3638700,11.13
1996-01-02,58.75,64.87,54.00,64.37,5133500,10.73
