Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,9.89,10.28,9.71,10.14,45771500,10.14
2012-09-04,9.37,10.66,9.35,9.86,42726900,9.86
2012-08-01,9.29,9.70,8.82,9.34,30550200,9.34
2012-07-02,9.50,9.79,8.83,9.24,42359100,9.19
2012-06-01,10.33,10.80,9.46,9.59,52693500,9.54
2012-05-01,11.25,11.34,9.96,10.56,48476400,10.50
2012-04-02,12.50,12.95,11.15,11.28,49203000,11.22
2012-03-01,12.48,13.04,12.00,12.48,45433900,12.36
2012-02-01,12.73,13.00,11.99,12.38,48028700,12.26
2012-01-03,11.00,13.05,10.99,12.42,65560900,12.30
2011-12-01,10.51,11.42,9.84,10.76,49009200,10.61
2011-11-01,11.33,11.68,9.75,10.60,55133800,10.46
2011-10-03,9.66,12.65,9.05,11.68,80214100,11.52
2011-09-01,11.14,11.27,9.32,9.67,61094500,9.54
2011-08-01,12.75,12.81,9.81,11.12,92893600,10.97
2011-07-01,13.92,14.22,12.00,12.21,62200800,12.04
2011-06-01,14.78,14.90,12.65,13.79,73064600,13.60
2011-05-02,15.52,15.69,14.35,14.92,55415500,14.72
2011-04-01,15.03,16.18,14.49,15.47,71571800,15.26
2011-03-01,15.10,15.20,13.75,14.91,75496800,14.71
2011-02-01,16.14,16.51,14.49,15.05,98180800,14.85
2011-01-03,17.02,18.97,15.45,15.95,118252700,15.73
2010-12-01,16.24,17.03,16.14,16.79,49679400,16.56
2010-11-01,14.32,17.42,14.16,15.94,128240700,15.72
2010-10-01,12.24,14.47,12.12,14.13,74920400,13.94
2010-09-01,11.53,12.75,11.46,12.24,54829400,12.07
2010-08-02,13.06,13.24,10.95,11.29,63841200,11.14
2010-07-01,10.23,13.18,10.02,12.77,86658700,12.60
2010-06-01,11.50,12.15,9.75,10.08,89608100,9.94
2010-05-03,13.18,13.49,10.17,11.73,139647400,11.57
2010-04-01,12.84,14.57,12.34,13.02,128193900,12.84
2010-03-01,11.81,14.54,11.75,12.57,157154000,12.40
2010-02-01,11.14,11.88,10.49,11.74,88672700,11.58
2010-01-04,10.17,12.14,10.05,10.84,142966900,10.69
2009-12-01,9.01,10.37,8.76,10.00,61117800,9.86
2009-11-02,7.73,9.14,7.24,8.89,117182900,8.77
2009-10-01,7.18,7.98,6.61,7.00,71169300,6.91
2009-09-01,7.51,7.77,6.75,7.21,71720600,7.11
2009-08-03,8.65,8.86,7.13,7.60,83598100,7.50
2009-07-01,6.12,8.00,5.24,8.00,91542900,7.89
2009-06-01,5.95,6.53,5.21,6.07,86780900,5.99
2009-05-01,5.99,6.54,4.71,5.75,123350300,5.67
2009-04-01,2.56,5.99,2.40,5.98,126461100,5.90
2009-03-02,1.91,2.99,1.65,2.63,45891900,2.59
2009-02-02,1.86,2.16,1.50,2.00,31878100,1.97
2009-01-02,2.30,2.85,1.80,1.87,52639800,1.84
2008-12-01,3.00,3.54,2.02,2.29,117333800,2.26
2008-11-03,2.25,2.74,1.01,2.69,93671900,2.65
2008-10-01,4.75,5.47,1.80,2.19,75605900,2.16
2008-09-02,4.67,5.70,4.17,5.20,70385500,5.13
2008-08-01,4.80,5.50,4.24,4.46,50665900,4.40
2008-07-01,4.71,6.33,4.30,4.80,68918000,4.73
2008-06-02,6.85,6.93,4.46,4.81,65447700,4.74
2008-05-01,8.28,8.68,6.59,6.80,52800600,6.71
2008-04-01,5.77,8.79,5.77,8.26,88700000,8.15
2008-03-03,6.42,6.42,4.95,5.72,66914600,5.64
2008-02-01,6.69,6.93,6.01,6.53,40550600,6.44
2008-01-02,6.73,6.94,5.50,6.64,57439800,6.55
2007-12-03,7.52,7.52,6.65,6.73,39147400,6.64
2007-11-01,8.77,8.99,6.87,7.51,50175400,7.41
2007-10-01,8.56,9.24,8.13,8.87,48909000,8.75
2007-09-04,7.78,9.00,7.50,8.49,46762300,8.37
