Date,Open,High,Low,Close,Volume,Adj Close
2012-10-08,20.40,20.75,19.45,19.75,30127300,19.75
2012-10-01,22.08,22.59,20.88,20.91,40005100,20.91
2012-09-24,21.78,21.98,19.80,21.66,51874400,21.66
2012-09-17,22.67,23.37,21.37,22.86,54935500,22.86
2012-09-10,19.06,22.08,18.55,22.00,66950200,22.00
2012-09-04,18.08,19.42,17.55,18.98,47460600,18.98
2012-08-27,19.49,19.53,18.03,18.06,30331400,18.06
2012-08-20,19.05,20.13,18.75,19.41,56831000,19.41
2012-08-13,22.15,22.45,19.00,19.05,79800300,19.05
2012-08-06,21.39,22.45,20.22,21.81,27100900,21.81
2012-07-30,24.00,24.04,19.82,21.09,53418200,21.09
2012-07-23,28.12,29.49,22.28,23.71,45772000,23.71
2012-07-16,30.50,30.50,27.15,28.76,19501300,28.76
2012-07-09,32.10,32.88,30.55,30.72,12898800,30.72
2012-07-02,31.25,31.90,30.55,31.73,10965800,31.73
2012-06-25,32.86,33.44,30.76,31.10,23003900,31.10
2012-06-18,29.96,33.45,29.41,33.05,37218100,33.05
2012-06-11,27.18,30.10,26.84,30.01,24311600,30.01
2012-06-04,27.20,27.76,25.52,27.10,40677200,27.10
2012-05-29,31.48,31.69,26.83,27.72,72206500,27.72
2012-05-21,36.53,36.66,30.94,31.91,86193200,31.91
2012-05-18,42.05,45.00,38.00,38.23,573576400,38.23
