Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,116.67,126.48,116.22,125.15,5051500,125.15
2012-09-04,105.55,122.60,105.54,113.68,4989900,113.68
2012-08-01,101.27,107.34,96.72,105.72,3224300,105.72
2012-07-02,96.56,102.18,91.15,100.90,4769500,100.46
2012-06-01,94.07,97.60,90.43,95.86,5350400,95.44
2012-05-01,114.84,116.48,93.70,95.70,5725000,95.28
2012-04-02,124.14,125.54,110.07,115.15,6123800,114.10
2012-03-01,115.97,128.72,113.11,124.37,6969700,123.24
2012-02-01,112.61,118.66,111.40,115.14,6055000,114.09
2012-01-03,92.97,112.50,92.42,111.47,8386700,110.12
2011-12-01,94.58,106.10,86.90,90.43,7752200,89.34
2011-11-01,103.49,109.26,87.60,95.86,7669700,94.70
2011-10-03,93.74,118.07,84.27,109.55,8931200,107.81
2011-09-01,115.55,115.55,91.40,94.55,8216400,93.05
2011-08-01,136.92,137.34,103.16,116.22,10302900,114.37
2011-07-01,133.43,139.25,125.50,134.97,5932800,132.42
2011-06-01,139.95,140.00,128.30,133.09,6399500,130.58
2011-05-02,152.20,153.07,133.64,140.73,7225700,138.07
2011-04-01,159.77,164.40,149.55,151.01,5401400,147.78
2011-03-01,163.55,165.18,153.26,158.60,5018000,155.21
2011-02-01,163.86,169.90,161.32,163.78,4590600,160.28
2011-01-03,170.55,175.34,160.12,163.62,6016300,159.78
2010-12-01,158.45,171.23,157.00,168.16,4330900,164.21
2010-11-01,161.77,171.61,156.14,156.14,5961700,152.48
2010-10-01,145.20,163.79,144.70,161.13,6960300,157.00
2010-09-01,139.01,154.70,137.80,144.58,7002500,140.88
2010-08-02,152.82,157.25,135.79,136.93,6478000,133.42
2010-07-01,131.69,153.41,129.50,150.82,11327700,146.59
2010-06-01,144.26,146.40,131.02,131.27,11005300,127.59
2010-05-03,147.84,152.35,134.20,144.26,19071000,140.21
2010-04-01,171.72,186.41,143.30,145.20,28878700,140.77
2010-03-01,156.51,178.73,156.17,170.63,10808800,165.43
2010-02-01,149.82,160.21,148.87,156.35,12620100,151.58
2010-01-04,170.05,178.75,147.81,148.72,15808600,143.86
2009-12-01,171.25,171.33,160.20,168.84,7938900,163.33
2009-11-02,171.59,181.43,163.22,169.66,9181500,164.12
2009-10-01,184.01,193.60,169.68,170.17,11514400,164.26
2009-09-01,164.80,188.00,158.14,184.35,9998100,177.95
2009-08-03,165.20,170.94,157.20,165.46,9275800,159.72
2009-07-01,147.59,166.42,135.23,163.30,12900900,157.29
2009-06-01,145.80,151.17,137.01,147.44,12081600,142.02
2009-05-01,127.90,145.90,126.16,144.57,18246900,139.25
2009-04-01,104.10,131.27,103.94,128.50,28329800,123.45
2009-03-02,87.86,115.65,72.78,106.02,30196400,101.86
2009-02-02,78.78,98.66,78.57,91.08,28301500,87.50
2009-01-02,84.02,92.20,59.13,80.73,22764300,77.14
2008-12-01,75.80,86.15,60.22,84.39,19380300,80.64
2008-11-03,92.00,95.25,47.41,78.99,32088500,75.48
2008-10-01,127.32,142.00,74.00,92.50,27238900,88.39
2008-09-02,167.50,172.45,86.31,128.00,30537000,121.93
2008-08-01,185.00,186.00,152.59,163.97,8992900,156.20
2008-07-01,173.13,190.04,152.25,184.04,13996400,175.32
2008-06-02,177.00,187.01,161.21,174.90,13237600,166.29
2008-05-01,191.77,203.39,170.80,176.41,7688500,167.72
2008-04-01,171.49,194.93,161.68,191.37,10782700,181.95
2008-03-03,169.29,184.52,140.27,165.39,18934700,156.96
2008-02-01,199.15,208.78,169.00,169.63,11909600,160.98
2008-01-02,214.80,215.05,175.42,199.55,13735700,189.37
2007-12-03,226.09,229.35,196.90,215.05,11004600,203.72
2007-11-01,243.55,244.41,201.57,226.64,14584700,214.70
2007-10-01,215.41,250.70,213.00,247.92,10522400,234.86
2007-09-04,176.18,218.67,175.00,216.74,13227600,205.01
2007-08-01,187.03,198.50,157.38,176.01,17178000,166.48
2007-07-02,217.50,225.77,187.25,188.34,10149400,178.14
2007-06-01,232.08,233.64,212.56,216.75,7413100,204.65
2007-05-01,219.08,233.97,215.35,230.82,5301200,217.93
2007-04-02,207.67,226.61,203.29,218.61,5813900,206.40
2007-03-01,197.12,212.22,189.85,206.63,10574800,194.78
2007-02-01,213.44,222.75,194.65,201.75,7133200,190.18
2007-01-03,200.60,220.51,197.82,212.16,6994600,199.99
2006-12-01,195.70,206.70,191.52,199.35,4755300,187.61
2006-11-01,191.00,203.35,182.70,194.80,4650900,183.32
2006-10-02,168.51,193.60,168.51,189.79,5615700,178.61
2006-09-01,148.70,171.15,147.13,169.17,5499000,158.90
2006-08-01,151.63,156.87,145.66,148.65,3886000,139.62
2006-07-03,151.93,153.73,138.97,152.75,4677800,143.48
2006-06-01,150.92,157.00,136.79,150.43,6599600,140.96
2006-05-01,160.30,166.55,140.42,150.95,5216100,141.44
2006-04-03,157.99,169.31,156.92,160.29,4390100,150.20
2006-03-01,141.98,159.63,139.18,156.96,4676800,146.77
2006-02-01,141.40,146.35,137.80,141.29,3546400,132.12
2006-01-03,126.70,141.86,124.23,141.25,4603800,132.08
2005-12-01,130.50,134.16,124.34,127.71,3048500,119.20
2005-11-01,126.70,134.99,124.80,128.96,3045900,120.36
2005-10-03,121.29,127.38,110.23,126.37,5186400,117.94
2005-09-01,111.70,121.70,111.60,121.58,3697700,113.24
2005-08-01,107.60,114.87,106.69,111.18,2677700,103.55
2005-07-01,102.17,109.98,102.02,107.48,3275600,100.11
2005-06-01,97.40,104.96,96.43,102.02,4439400,94.80
2005-05-02,105.85,107.29,94.75,97.50,5941900,90.60
2005-04-01,110.74,114.25,103.21,106.79,5073100,99.23
2005-03-01,108.39,113.17,107.50,109.99,3650600,101.97
2005-02-01,107.65,113.93,107.30,108.80,3123500,100.86
2005-01-03,104.90,107.97,101.79,107.85,3918700,99.98
2004-12-01,105.25,110.88,103.00,104.04,3544200,96.22
2004-11-01,98.20,105.59,97.80,104.76,3357600,96.88
2004-10-01,93.46,98.45,90.74,98.38,3646900,90.98
2004-09-01,89.85,94.96,88.89,93.24,3329400,85.99
2004-08-02,87.78,91.57,83.29,89.65,3356400,82.68
2004-07-01,94.17,94.35,85.72,88.19,3921300,81.34
2004-06-01,93.80,95.15,87.68,94.16,4438700,86.60
2004-05-03,96.95,98.50,90.08,93.91,4582000,86.37
2004-04-01,104.24,107.50,96.31,96.75,3389900,88.98
2004-03-01,107.30,109.29,98.38,104.35,3870300,95.73
2004-02-02,99.23,108.00,98.43,105.87,3433500,97.13
2004-01-02,98.80,102.75,96.15,99.55,4167700,91.33
2003-12-01,96.23,100.78,95.73,98.73,3008200,90.35
2003-11-03,94.65,97.39,91.70,96.08,2985300,87.93
2003-10-01,83.90,94.89,83.90,93.90,3910700,85.93
2003-09-02,88.54,93.74,83.64,83.90,4755500,76.56
2003-08-01,86.95,89.10,82.90,88.49,2844600,80.75
2003-07-01,83.75,90.35,82.36,87.14,3938900,79.51
2003-06-02,81.50,91.98,81.50,83.75,5543700,76.20
2003-05-01,75.90,81.67,73.22,81.50,4237100,74.15
2003-04-01,68.48,78.90,68.06,75.90,4522200,69.06
2003-03-03,69.45,72.10,61.02,68.08,5422700,61.84
2003-02-03,68.10,69.75,63.75,69.45,3894900,63.09
2003-01-02,68.10,75.75,66.95,68.10,3904100,61.86
2002-12-02,78.88,80.90,67.00,68.10,3553000,61.76
2002-11-01,71.60,81.00,71.00,78.87,3961700,71.40
2002-10-01,66.50,75.35,58.57,71.60,5983000,64.82
2002-09-03,76.06,76.10,64.49,66.03,5289000,59.68
2002-08-01,73.15,81.97,67.75,77.30,4809100,69.87
2002-07-01,73.75,77.00,65.55,73.15,9556200,66.12
2002-06-03,75.45,77.02,69.03,73.35,3783500,66.18
2002-05-01,78.55,82.10,74.00,75.45,3358800,68.08
2002-04-01,89.40,89.45,75.80,78.75,3682600,71.06
2002-03-01,81.50,92.25,80.85,90.25,3148000,81.31
