Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,40.88,42.44,40.42,41.38,25278400,41.38
2012-09-04,36.98,42.09,36.78,40.48,26693500,40.18
2012-08-01,36.19,38.86,34.76,37.14,21082900,36.87
2012-07-02,36.27,37.20,33.10,36.00,39743600,35.74
2012-06-01,32.41,37.03,30.83,35.73,53167000,35.17
2012-05-01,43.00,44.24,32.26,33.15,60746700,32.63
2012-04-02,45.75,46.35,41.80,42.98,32037100,42.31
2012-03-01,39.51,46.49,39.12,45.98,38481700,44.97
2012-02-01,37.89,39.94,37.05,39.24,30325900,38.38
2012-01-03,34.06,38.10,34.01,37.30,37590700,36.48
2011-12-01,30.86,34.19,30.03,33.25,39824000,32.29
2011-11-01,32.47,35.18,28.28,30.97,42755300,30.07
2011-10-03,30.03,37.54,27.85,34.76,52929900,33.75
2011-09-01,37.62,37.82,28.53,30.12,51162600,28.99
2011-08-01,41.16,41.37,32.31,37.56,53060700,36.16
2011-07-01,40.81,42.55,38.93,40.45,35224400,38.94
2011-06-01,42.87,42.99,39.24,40.94,37963700,39.17
2011-05-02,45.94,46.07,41.69,43.24,29295500,41.37
2011-04-01,46.55,47.80,43.53,45.63,30074100,43.65
2011-03-01,46.47,47.10,43.40,46.10,30781900,43.87
2011-02-01,45.20,48.36,44.30,46.69,32819500,44.43
2011-01-03,43.00,45.94,42.65,44.94,42552800,42.76
2010-12-01,37.95,43.12,37.65,42.42,30827200,40.32
2010-11-01,37.61,41.34,36.83,37.40,37815300,35.55
2010-10-01,38.34,40.72,36.21,37.63,46145300,35.77
2010-09-01,36.74,41.50,36.66,38.06,36763200,36.13
2010-08-02,40.98,41.70,35.55,36.36,34464200,34.51
2010-07-01,36.54,41.24,35.16,40.28,40895800,38.24
2010-06-01,39.32,39.96,36.51,36.61,45953900,34.70
2010-05-03,42.97,43.73,37.02,39.58,58929200,37.52
2010-04-01,45.03,48.20,42.23,42.58,47705200,40.36
2010-03-01,42.03,46.05,41.34,44.75,34545400,42.37
2010-02-01,39.10,42.31,37.03,41.97,49681900,39.74
2010-01-04,41.79,45.19,38.07,38.94,56985000,36.87
2009-12-01,42.61,43.09,40.04,41.67,35273800,39.41
2009-11-02,42.18,44.99,40.75,42.49,34144700,40.18
2009-10-01,43.40,47.47,40.53,41.77,41631800,39.50
2009-09-01,43.08,46.50,40.75,43.82,35768700,41.39
2009-08-03,39.12,44.24,38.99,43.46,42084800,41.05
2009-07-01,34.27,39.47,31.59,38.65,51023000,36.51
2009-06-01,37.40,37.73,32.18,34.11,66293200,32.17
2009-05-01,32.85,38.94,32.06,36.90,80175600,34.80
2009-04-01,25.29,35.21,25.29,33.00,105136100,31.13
2009-03-02,21.70,29.60,14.96,26.58,131367700,25.03
2009-02-02,25.00,27.97,18.75,22.85,96059900,21.51
2009-01-02,31.19,31.64,17.70,25.51,82295000,24.02
2008-12-01,30.67,37.70,24.61,31.53,53642600,29.33
2008-11-03,41.25,42.50,19.69,31.66,76786200,29.45
2008-10-01,46.91,50.63,32.52,41.25,72817900,38.37
2008-09-02,39.56,49.00,34.04,46.70,69218300,43.11
2008-08-01,41.11,42.85,35.00,38.49,36847600,35.53
2008-07-01,33.69,43.00,29.24,40.63,59346500,37.50
2008-06-02,42.63,42.77,33.96,34.31,47138700,31.32
2008-05-01,47.68,49.95,41.90,43.00,27856600,39.25
2008-04-01,45.13,48.64,41.17,47.65,33799000,43.50
2008-03-03,40.55,48.16,36.01,42.95,55286400,38.89
2008-02-01,47.26,48.70,40.38,40.65,33361800,36.81
2008-01-02,43.55,49.29,37.66,47.40,45245600,42.92
2007-12-03,45.90,48.02,42.79,43.65,23962700,39.18
2007-11-01,45.65,46.32,40.15,45.62,32018800,40.95
2007-10-01,45.47,47.88,44.60,47.00,19626500,42.19
2007-09-04,44.40,48.06,43.20,45.82,19096800,40.80
2007-08-01,43.70,48.29,42.16,44.52,29868000,39.64
2007-07-02,48.90,50.48,43.50,44.01,26281200,39.18
2007-06-01,51.92,52.08,48.06,48.45,16432000,42.80
2007-05-01,52.40,53.25,51.26,51.83,11537500,45.79
2007-04-02,48.38,53.06,47.70,52.10,16590300,46.03
2007-03-01,48.98,49.65,45.91,48.38,16669700,42.44
2007-02-01,50.96,51.95,47.60,49.39,12440300,43.33
2007-01-03,48.00,51.16,47.32,50.93,13689100,44.68
2006-12-01,46.50,49.00,45.51,48.30,10729800,42.07
2006-11-01,47.75,48.05,45.78,46.28,9395400,40.31
2006-10-02,46.96,48.57,46.37,47.44,11799500,41.32
2006-09-01,45.85,47.49,44.68,46.96,9614300,40.61
2006-08-01,45.79,46.10,43.50,45.66,8902600,39.49
2006-07-03,42.05,45.71,40.40,45.62,12717000,39.46
2006-06-01,42.75,44.20,39.33,42.00,13089200,36.03
2006-05-01,45.38,46.80,41.59,42.64,12440500,36.58
2006-04-03,41.95,45.90,41.48,45.38,12442700,38.93
2006-03-01,41.16,42.43,40.87,41.64,11517800,35.43
2006-02-01,39.88,41.95,39.05,41.14,10614100,35.01
2006-01-03,39.83,40.87,37.88,39.75,13902700,33.82
2005-12-01,38.52,40.56,38.32,39.69,9972700,33.49
2005-11-01,36.79,39.18,36.58,38.25,11926800,32.27
2005-10-03,34.19,36.80,32.92,36.62,13524600,30.90
2005-09-01,33.75,35.00,33.50,33.93,10565400,28.34
2005-08-01,35.32,35.65,33.31,33.89,8849900,28.31
2005-07-01,35.22,35.95,34.30,35.14,9797700,29.35
2005-06-01,35.56,36.50,35.01,35.32,9461700,29.22
2005-05-02,35.58,36.30,34.11,35.75,9871100,29.57
2005-04-01,34.79,35.88,33.35,35.49,13730000,29.36
2005-03-01,37.00,37.79,34.32,34.60,12732500,28.34
2005-02-01,37.50,38.07,35.90,36.55,11300500,29.94
2005-01-03,39.48,39.69,36.51,37.33,12259700,30.58
2004-12-01,37.80,39.48,37.25,39.01,9770700,31.67
2004-11-01,38.77,39.91,37.06,37.65,11214000,30.57
2004-10-01,39.90,40.45,36.32,38.60,10850700,31.34
2004-09-01,39.52,40.25,38.95,39.73,9257300,31.99
2004-08-02,37.23,39.80,35.90,39.58,8434800,31.87
2004-07-01,38.58,38.64,35.50,37.33,11097500,30.05
2004-06-01,36.84,38.85,36.50,38.77,9124000,30.94
2004-05-03,38.01,38.75,34.62,36.84,10253400,29.40
2004-04-01,41.95,42.57,37.45,37.60,10160600,30.01
2004-03-01,41.23,43.84,40.44,41.95,9625100,33.21
2004-02-02,39.10,41.20,38.61,41.02,9014800,32.47
2004-01-02,36.56,40.53,36.30,38.89,15051100,30.79
2003-12-01,35.61,36.84,34.50,36.73,6907500,28.81
2003-11-03,36.22,36.76,34.45,35.40,6429400,27.76
2003-10-01,34.70,36.99,34.56,35.90,9049400,28.16
2003-09-02,34.42,35.87,33.16,34.33,8720900,26.67
2003-08-01,35.08,35.43,32.40,34.22,9039600,26.58
2003-07-01,33.84,38.26,33.05,35.05,9430600,27.23
2003-06-02,33.35,36.52,33.32,34.18,10418700,26.29
2003-05-01,29.35,33.07,28.69,32.86,10247200,25.27
2003-04-01,24.15,29.69,23.75,29.35,12197100,22.57
2003-03-03,23.15,24.90,20.13,23.71,11115900,17.98
2003-02-03,23.50,23.87,20.86,22.68,9257900,17.20
2003-01-02,25.25,28.29,22.70,23.34,12036800,17.70
2002-12-02,25.99,26.14,22.80,24.00,9993900,17.94
2002-11-01,20.75,25.70,20.00,25.17,12423500,18.81
2002-10-01,19.15,21.61,15.26,20.75,16625100,15.51
2002-09-03,25.65,25.75,17.86,18.99,16434700,13.95
2002-08-01,24.96,27.40,22.10,26.40,11603400,19.39
2002-07-01,33.59,33.68,18.22,24.96,16577300,18.34
2002-06-03,36.00,36.25,30.15,33.92,9253100,24.65
2002-05-01,35.44,38.75,34.24,35.95,7201200,26.12
2002-04-01,35.65,37.95,33.10,35.10,9068900,25.51
2002-03-01,29.60,36.49,29.05,35.65,10873600,25.66
2002-02-01,34.05,34.05,26.70,29.25,15435400,21.05
2002-01-02,36.49,39.68,30.40,34.05,11302200,24.50
2001-12-03,36.90,40.95,35.02,36.35,9332800,25.91
2001-11-01,36.09,40.30,35.16,37.72,7526000,26.89
2001-10-01,34.30,38.08,31.85,35.36,9217700,25.21
2001-09-04,39.50,40.68,29.04,34.15,12358000,24.11
2001-08-01,43.20,44.25,39.11,39.40,6094000,27.82
2001-07-02,44.80,46.01,40.60,43.30,6682500,30.57
2001-06-01,49.25,49.91,42.50,44.47,7804700,31.16
2001-05-01,48.49,50.60,46.35,49.15,7054400,34.44
2001-04-02,44.50,50.40,39.21,47.98,8744600,33.62
2001-03-01,45.60,51.19,37.58,44.90,9669100,31.21
2001-02-01,54.99,55.85,45.30,46.66,8687200,32.43
2001-01-02,44.63,57.33,43.19,54.99,12392000,38.22
2000-12-01,37.13,47.56,36.88,45.44,10490800,31.35
2000-11-01,45.50,46.50,35.44,36.88,8140000,25.45
2000-10-02,46.63,48.13,32.38,45.50,11757200,31.39
2000-09-01,56.69,58.38,44.56,46.19,12126000,31.65
2000-08-01,49.88,56.56,49.63,55.88,6444400,38.29
2000-07-03,45.88,53.75,45.88,49.81,4390000,34.13
2000-06-01,75.87,82.37,44.13,46.06,6717000,31.34
2000-05-01,72.50,77.00,68.12,74.69,7302700,33.88
2000-04-03,87.94,93.00,71.75,72.12,8345800,32.72
2000-03-01,79.87,100.75,77.12,87.19,7490500,39.35
2000-02-01,82.44,86.37,74.56,79.62,6956700,35.93
2000-01-03,74.75,81.50,68.25,80.69,8541100,36.42
1999-12-01,77.12,83.37,72.06,77.69,4498900,34.86
1999-11-01,86.62,87.37,76.31,77.25,4988600,34.67
1999-10-01,75.12,89.25,65.81,87.25,7122100,39.15
1999-09-01,83.69,85.75,72.56,75.37,6279800,33.64
1999-08-02,76.94,88.50,72.56,83.69,5170400,37.35
1999-07-01,85.56,86.87,76.25,77.06,4255800,34.39
1999-06-01,72.25,86.62,70.12,86.50,4921400,38.42
1999-05-03,82.00,85.37,72.00,72.37,5964300,32.14
1999-04-01,80.87,91.12,78.31,82.50,5528900,36.64
1999-03-01,79.50,89.50,79.00,81.37,5167300,35.96
1999-02-01,76.94,82.56,71.37,79.62,6677400,35.19
1999-01-04,70.12,78.25,67.87,76.94,8710200,34.00
1998-12-01,62.75,72.56,58.50,71.00,5336200,31.22
