Date,Open,High,Low,Close,Volume,Adj Close
2012-10-08,117.28,119.42,110.27,113.77,2171400,113.77
2012-10-01,120.73,123.51,117.00,118.83,1436700,118.83
2012-09-24,122.00,124.68,116.04,120.40,1531600,120.40
2012-09-17,122.48,124.20,119.28,122.84,1310500,122.84
2012-09-10,118.43,125.50,116.65,123.23,1763300,123.23
2012-09-04,107.30,122.85,106.40,119.04,3980600,119.04
2012-08-27,105.65,109.38,104.00,107.30,2195300,107.30
2012-08-20,100.56,107.05,100.37,105.11,2133100,105.11
2012-08-13,105.20,106.40,100.26,101.36,2064800,101.36
2012-08-06,107.97,113.00,103.65,104.92,2864900,104.92
2012-07-30,103.42,108.60,91.67,108.51,5425100,108.51
2012-07-23,103.85,104.75,95.87,103.42,1979300,103.42
2012-07-16,104.94,109.55,101.03,106.26,1471600,106.26
2012-07-09,105.57,106.80,98.25,105.59,2213700,105.59
2012-07-02,106.20,109.90,105.29,108.86,1406300,108.86
2012-06-25,105.38,107.82,101.06,106.27,2067100,106.27
2012-06-18,100.95,107.10,100.77,106.85,3477500,106.85
2012-06-11,97.16,102.51,92.93,102.01,3102900,102.01
2012-06-04,91.31,96.35,88.00,96.26,3093000,96.26
2012-05-29,99.53,101.80,90.10,91.51,4906800,91.51
2012-05-21,96.28,105.88,92.33,98.52,5702100,98.52
2012-05-14,106.43,114.33,96.60,99.02,6295100,99.02
2012-05-07,114.50,115.67,101.53,107.23,4527800,107.23
2012-04-30,109.91,120.63,103.00,117.30,5117600,117.30
2012-04-23,102.73,110.61,96.32,109.72,3012700,109.72
2012-04-16,107.54,108.20,99.46,105.01,2751100,105.01
2012-04-09,96.21,108.50,96.01,107.24,2758900,107.24
2012-04-02,101.99,104.60,97.50,99.25,2196000,99.25
2012-03-26,100.21,106.97,98.81,101.99,3638000,101.99
2012-03-19,91.60,101.11,87.75,99.50,4474500,99.50
2012-03-12,90.11,94.99,89.72,91.02,3447400,91.02
2012-03-05,87.75,91.41,84.10,90.13,3447300,90.13
2012-02-27,89.03,90.15,85.25,87.50,2801100,87.50
2012-02-21,93.13,96.31,88.80,90.73,2293700,90.73
2012-02-13,88.34,93.61,84.25,93.05,4131100,93.05
2012-02-06,79.98,91.20,74.32,89.96,4522700,89.96
2012-01-30,76.10,81.83,71.06,79.88,2335900,79.88
2012-01-23,73.27,77.23,71.55,76.64,1160000,76.64
2012-01-17,70.81,74.69,69.34,73.61,1794000,73.61
2012-01-09,63.63,71.68,61.90,70.30,1295100,70.30
2012-01-03,65.82,65.82,61.28,64.19,1426300,64.19
2011-12-27,63.60,64.12,61.32,63.01,825800,63.01
2011-12-19,65.36,66.52,60.25,63.79,943700,63.79
2011-12-12,70.13,72.83,63.79,65.84,1547000,65.84
2011-12-05,68.61,74.94,68.41,71.89,1864600,71.89
2011-11-28,64.90,69.73,55.98,67.89,3092200,67.89
2011-11-21,68.95,70.20,62.78,63.08,2913200,63.08
2011-11-14,79.00,80.08,70.56,72.00,2829500,72.00
2011-11-07,81.90,81.90,74.53,79.01,724400,79.01
2011-10-31,92.18,93.00,77.38,82.37,1319300,82.37
2011-10-24,87.50,95.00,83.50,93.93,949600,93.93
2011-10-17,88.78,90.89,82.99,87.55,540100,87.55
2011-10-10,78.00,92.61,74.81,90.31,1117000,90.31
2011-10-03,76.15,80.00,70.75,76.48,457200,76.48
2011-09-26,76.24,82.00,72.14,78.08,494800,78.08
2011-09-19,86.19,87.50,74.34,75.39,550200,75.39
2011-09-12,81.58,89.99,80.61,87.65,772500,87.65
2011-09-06,78.66,87.00,77.17,82.72,596500,82.72
2011-08-29,76.77,89.31,75.89,80.27,797800,80.27
2011-08-22,82.74,82.75,70.04,74.61,864000,74.61
2011-08-15,91.77,93.58,75.89,79.03,1019000,79.03
2011-08-08,87.31,93.21,73.16,91.22,1507300,91.22
2011-08-01,105.30,109.77,85.85,91.36,2138200,91.36
2011-07-25,100.02,115.05,98.90,101.03,1232700,101.03
2011-07-18,106.01,106.84,96.20,102.97,1249100,102.97
2011-07-11,97.75,110.50,97.30,109.97,2220300,109.97
2011-07-05,94.95,101.50,89.99,99.60,1291600,99.60
2011-06-27,69.15,95.50,69.15,94.54,1921400,94.54
2011-06-20,63.96,72.73,60.14,69.94,1372400,69.94
2011-06-13,74.92,78.00,65.10,65.53,1203400,65.53
2011-06-06,77.85,85.10,70.50,72.83,1388800,72.83
2011-05-31,89.90,90.72,75.20,77.92,2185200,77.92
2011-05-23,86.45,98.25,84.00,88.32,2850900,88.32
2011-05-19,83.00,122.70,80.00,93.09,19356900,93.09
