Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,29.81,30.25,28.87,28.95,48207500,28.95
2012-09-04,30.45,31.61,29.74,29.76,49859800,29.76
2012-08-01,29.59,30.96,28.97,30.82,30797300,30.82
2012-07-02,30.62,31.05,28.54,29.47,42105900,29.28
2012-06-01,28.76,31.14,28.32,30.59,48969400,30.39
2012-05-01,32.05,32.34,28.64,29.19,47886600,29.00
2012-04-02,32.22,32.89,30.23,32.02,48821800,31.60
2012-03-01,31.93,32.95,31.49,32.26,44277900,31.84
2012-02-01,29.79,32.00,29.71,31.74,52182700,31.33
2012-01-03,26.55,29.95,26.39,29.53,70271500,28.95
2011-12-01,25.56,26.19,25.16,25.96,49264800,25.45
2011-11-01,26.19,27.20,24.30,25.58,53693200,25.08
2011-10-03,24.72,27.50,24.26,26.63,60235300,25.92
2011-09-01,26.46,27.50,24.60,24.89,63522800,24.22
2011-08-01,27.51,27.69,23.79,26.60,77332100,25.89
2011-07-01,25.93,28.15,25.84,27.40,68186700,26.50
2011-06-01,24.99,26.00,23.65,26.00,61377000,25.14
2011-05-02,25.94,26.25,24.03,25.01,67821800,24.19
2011-04-01,25.53,26.87,24.72,25.92,81660300,24.90
2011-03-01,26.60,26.78,24.68,25.39,59744300,24.39
2011-02-01,27.80,28.34,26.43,26.58,61355100,25.54
2011-01-03,28.05,29.46,27.42,27.73,71312700,26.49
2010-12-01,25.57,28.40,25.56,27.91,48111900,26.66
2010-11-01,26.88,28.87,24.93,25.26,68402700,24.13
2010-10-01,24.77,27.20,23.78,26.67,66458300,25.32
2010-09-01,23.67,25.53,23.54,24.49,63542900,23.25
2010-08-02,25.99,26.38,23.32,23.47,61156600,22.28
2010-07-01,23.09,26.41,22.73,25.81,71053500,24.37
2010-06-01,25.53,26.93,22.95,23.01,79675500,21.73
2010-05-03,30.67,31.06,24.56,25.80,89381300,24.36
2010-04-01,29.35,31.58,28.62,30.54,65821100,28.71
2010-03-01,28.77,30.57,28.24,29.29,51043300,27.53
2010-02-01,28.39,29.03,27.57,28.67,58684900,26.95
2010-01-04,30.62,31.24,27.66,28.18,81765200,26.37
2009-12-01,29.52,31.50,29.25,30.48,43297000,28.52
2009-11-02,27.70,30.14,27.41,29.41,53121400,27.52
2009-10-01,25.41,29.35,24.43,27.73,72581900,25.83
2009-09-01,24.35,26.25,23.76,25.72,52500600,23.96
2009-08-03,23.82,25.49,23.03,24.65,49659200,22.96
2009-07-01,24.05,25.72,22.00,23.52,71441700,21.79
2009-06-01,21.00,24.34,20.86,23.77,67163500,22.02
2009-05-01,20.19,20.94,19.01,20.89,57362800,19.35
2009-04-01,18.23,21.20,18.18,20.26,78563800,18.65
2009-03-02,15.96,18.88,14.87,18.37,78069100,16.91
2009-02-02,17.03,19.93,16.10,16.15,81560000,14.87
2009-01-02,19.53,21.00,16.75,17.10,81319400,15.63
2008-12-01,19.88,21.25,18.47,19.44,72425500,17.77
2008-11-03,22.48,23.66,17.50,20.22,95976900,18.48
