Date,Open,High,Low,Close,Volume,Adj Close
2012-10-01,19.35,21.45,18.74,21.10,14097000,21.10
2012-09-04,19.46,23.31,18.29,19.07,12025000,19.07
2012-08-01,20.80,23.84,19.06,19.45,8259800,19.45
2012-07-02,20.53,22.12,17.80,20.65,8867100,20.61
2012-06-01,19.66,21.56,17.67,20.60,12242800,20.56
2012-05-01,28.27,29.25,19.95,20.30,11165300,20.26
2012-04-02,29.18,30.66,26.39,28.33,10849800,28.22
2012-03-01,27.51,32.05,24.78,29.37,11681000,29.25
2012-02-01,30.78,32.52,26.90,27.22,10606400,27.11
2012-01-03,27.42,31.23,26.64,30.19,13052500,30.02
2011-12-01,26.97,29.23,23.67,26.46,10571700,26.31
2011-11-01,24.05,28.49,22.22,27.30,15116500,27.15
2011-10-03,22.05,28.09,18.85,25.36,15391000,25.17
2011-09-01,30.00,30.19,21.73,22.01,12031100,21.85
2011-08-01,40.96,41.04,25.44,30.11,12075700,29.89
2011-07-01,45.99,47.33,39.05,39.99,8439900,39.64
2011-06-01,45.82,46.68,40.95,46.04,8247500,45.63
2011-05-02,47.91,47.97,43.86,46.11,7776500,45.70
2011-04-01,54.29,55.75,46.89,47.71,11094300,47.23
2011-03-01,57.69,57.85,52.11,53.94,10901800,53.40
2011-02-01,58.27,64.03,54.67,57.49,10973600,56.92
2011-01-03,59.29,61.18,51.33,57.67,12404000,57.05
2010-12-01,49.46,59.50,49.35,58.42,9062600,57.79
2010-11-01,43.10,49.15,42.86,48.61,10898600,48.08
2010-10-01,44.72,46.65,39.78,42.72,12962100,42.21
2010-09-01,44.03,49.14,41.80,43.84,13744400,43.32
2010-08-02,45.50,51.39,41.50,42.49,12646100,41.99
2010-07-01,38.55,49.70,36.93,44.33,14337400,43.76
2010-06-01,46.05,46.65,38.39,38.55,14442300,38.05
2010-05-03,55.06,57.96,43.61,47.21,22531900,46.60
2010-04-01,64.74,70.95,54.30,54.66,17507700,53.91
2010-03-01,53.58,65.52,52.90,63.52,16703200,62.64
2010-02-01,45.17,54.13,42.32,52.94,20221400,52.21
2010-01-04,56.42,66.45,43.75,44.43,22390600,43.77
2009-12-01,45.61,58.19,43.31,55.12,8739100,54.30
2009-11-02,35.07,44.96,33.25,44.66,11125000,43.99
2009-10-01,44.04,45.87,33.97,34.49,13993700,33.93
2009-09-01,43.39,51.65,41.10,44.37,12191700,43.65
2009-08-03,41.17,47.60,40.88,43.78,13993000,43.07
2009-07-01,36.36,41.73,29.35,39.75,14660400,39.06
2009-06-01,35.58,43.15,33.12,35.74,17928900,35.12
2009-05-01,26.64,34.08,25.96,34.08,18085700,33.49
2009-04-01,20.50,30.38,20.17,26.55,20047200,26.05
2009-03-02,19.20,25.74,16.66,21.13,21479800,20.73
2009-02-02,29.34,36.70,19.03,19.67,14698500,19.30
2009-01-02,37.72,41.47,28.36,30.03,11089000,29.21
2008-12-01,28.70,44.13,25.39,37.20,10005500,36.18
2008-11-03,37.07,42.58,20.71,30.40,11075800,29.57
2008-10-01,77.11,77.92,28.43,36.88,16305400,35.53
2008-09-02,127.80,128.00,68.62,77.61,11252600,74.78
2008-08-01,160.00,161.00,126.20,133.07,6572700,128.21
2008-07-01,182.01,182.79,133.69,160.36,9708100,154.17
2008-06-02,172.00,196.00,163.90,184.78,5358300,177.65
2008-05-01,153.49,185.55,147.50,172.71,5580800,166.04
2008-04-01,125.37,158.23,122.00,153.95,5274000,147.79
2008-03-03,108.54,128.30,103.22,126.87,5040200,121.80
2008-02-01,104.26,116.39,92.47,108.45,5112800,104.11
2008-01-02,120.59,121.93,91.11,101.96,6049300,97.63
2007-12-03,98.46,121.12,93.24,120.91,3264300,115.78
2007-11-01,106.37,107.12,85.05,97.70,4376400,93.56
2007-10-01,106.50,114.68,102.09,107.90,3478400,103.11
2007-09-04,93.34,108.47,88.96,105.94,3616400,101.24
2007-08-01,97.81,98.64,74.41,94.48,4580400,90.29
2007-07-02,110.00,116.37,96.99,98.29,3152200,93.71
2007-06-01,114.10,127.26,105.08,108.75,4001500,103.68
2007-05-01,101.76,113.84,99.27,113.16,3204400,107.89
2007-04-02,99.30,108.20,99.07,101.54,3090800,96.64
2007-03-01,86.25,101.60,83.97,99.17,4532100,94.38
2007-02-01,84.37,94.95,82.55,88.68,4116400,84.40
2007-01-03,72.55,84.18,68.83,83.49,4007900,79.27
2006-12-01,74.17,79.01,71.22,73.14,3638200,69.44
2006-11-01,67.70,76.16,64.35,74.79,4422800,71.01
2006-10-02,57.93,70.38,54.18,67.60,5287400,63.99
2006-09-01,58.73,62.53,53.63,57.68,4992300,54.60
2006-08-01,63.07,63.30,56.12,58.17,4374800,55.06
2006-07-03,69.40,70.66,56.20,63.07,5566100,59.54
2006-06-01,65.65,70.64,56.15,70.12,5898000,66.20
2006-05-01,69.60,77.77,58.68,66.38,5691100,62.67
2006-04-03,61.95,69.88,61.20,68.50,4156800,64.53
2006-03-01,55.30,64.47,53.25,60.68,3637200,57.16
2006-02-01,60.00,62.50,53.58,54.50,4528600,51.34
2006-01-03,48.55,62.00,48.05,59.75,4579900,56.19
2005-12-01,47.83,51.63,44.67,48.07,4155400,45.20
2005-11-01,36.60,48.10,36.55,47.60,4304400,44.76
2005-10-03,42.35,42.52,33.59,36.53,3805900,34.26
2005-09-01,42.51,45.95,41.74,42.35,3287500,39.72
2005-08-01,42.80,45.70,39.40,41.92,3667100,39.32
2005-07-01,34.55,44.52,34.09,42.65,5296600,39.91
2005-06-01,39.77,42.39,34.05,34.37,5399000,32.17
2005-05-02,42.60,45.33,37.10,39.77,5133100,37.22
2005-04-01,51.20,52.18,41.01,42.76,6075900,39.91
2005-03-01,62.40,62.89,49.04,50.85,5446600,47.46
2005-02-01,52.00,63.90,51.05,62.36,4261700,58.21
2005-01-03,51.24,53.90,45.20,51.80,4405900,48.28
2004-12-01,52.36,54.06,46.15,51.25,3819300,47.76
2004-11-01,36.88,52.65,36.60,52.36,4411900,48.80
2004-10-01,39.40,41.85,32.12,36.72,4496800,34.18
