symbol,name,ask ($),bid ($),52 week low ($),52 week high ($),market cap (billion $),p/e ratio,average daily volume
"MMM","3M Company Common",96.00,66.12,68.63,98.19,56.068,13.66,4976110
"ACE","Ace Limited Commo",70.36,64.43,56.90,73.76,23.328,12.64,2513830
"ABT","Abbott Laboratori",55.48,55.45,45.07,55.61,86.364,18.92,8819710
"ANF","Abercrombie & Fit",49.00,47.34,44.22,78.25,4.173,21.65,3068980
"ADBE","Adobe Systems Inc",30.10,0.00,22.67,35.99,13.730,15.58,6888080
"AMD","Advanced Micro De",5.08,5.07,4.31,9.58,3.540,3.69,20485600
"AES","The AES Corporati",12.16,10.87,9.00,13.50,8.896,,6522610
"AET","Aetna Inc. Common",42.42,39.15,30.35,46.01,15.238,8.86,4244130
"AFL","AFLAC Incorporate",42.00,40.75,31.25,59.54,19.474,10.37,4722230
"A","Agilent Technolog",35.50,33.25,28.67,55.33,11.923,12.13,4572940
"APD","Air Products and ",87.00,79.05,72.26,98.00,17.738,15.06,1284510
"ARG","Airgas, Inc. Comm",80.68,77.66,58.00,79.19,5.960,23.80,699917
"AKS","AK Steel Holding ",8.05,7.75,5.51,17.88,0.8910,,9669180
"AKAM","Akamai Technologi",27.81,20.05,18.25,52.72,4.785,27.26,4845480
"AA","Alcoa Inc. Common",8.85,8.83,8.45,18.47,9.419,9.32,35940000
"ATI","Allegheny Technol",47.52,44.22,30.79,73.53,4.875,24.28,2420610
"AGN","Allergan, Inc. Co",101.92,82.02,68.03,89.25,26.526,29.63,1907310
"ALL","Allstate Corporat",27.20,26.00,22.27,34.40,13.720,39.43,5236130
"ALTR","Altera Corporatio",36.70,0.00,30.39,49.59,11.455,13.88,5474850
"MO","Altria Group, Inc",30.55,29.63,23.20,30.40,62.257,17.87,14368400
"AMZN","Amazon.com, Inc.",175.40,173.00,160.59,246.71,79.286,96.22,7075590
"AEE","Ameren Corporatio",32.88,31.50,25.55,34.11,7.897,14.16,2235600
"AEP","American Electric",41.09,39.50,33.09,40.99,19.727,10.63,3806660
"AXP","American Express ",48.97,46.00,41.30,53.80,55.159,12.01,8263830
"AIG","American Internat",24.20,23.54,19.18,62.87,45.733,5.39,6829880
"AMT","American Tower Co",59.50,58.40,45.85,60.00,23.342,86.67,3238980
"AMP","Ameriprise Financ",50.42,47.55,36.00,65.12,11.175,11.21,2830010
"ABC","AmerisourceBergen",38.12,35.99,33.91,43.47,9.569,14.61,2588250
"AMGN","Amgen Inc.",63.30,61.68,47.66,63.27,55.345,15.15,8316600
"APH","Amphenol Corporat",46.39,42.62,38.98,59.11,7.301,14.09,1624050
"APC","Anadarko Petroleu",76.07,75.23,57.11,85.50,37.741,,4585410
"ADI","Analog Devices, I",35.33,33.87,29.23,43.28,10.464,12.55,3826470
"AON","Aon Corporation C",47.38,44.69,39.68,54.58,14.968,16.86,2917820
"APA","Apache Corporatio",89.80,89.35,73.04,134.13,34.423,8.60,3448430
"AIV","Apartment Investm",23.68,22.55,20.08,28.12,2.746,,2320050
"APOL","Apollo Group, Inc",69.45,0.00,34.43,54.23,6.810,12.84,1806820
"AAPL","Apple Inc.",397.90,397.39,310.50,426.70,368.5,14.30,17655800
"AMAT","Applied Materials",11.75,0.00,9.70,16.93,13.317,7.18,16607000
"ADM","Archer-Daniels-Mi",29.00,27.58,23.69,38.02,19.151,8.69,5048730
"AIZ","Assurant, Inc. Co",41.25,38.87,30.65,41.90,3.716,20.27,988908
"T","AT&T Inc.",29.37,28.31,27.20,31.94,173.6,14.77,29053800
"ADSK","Autodesk, Inc.",49.45,0.00,22.99,46.15,6.874,26.94,3647040
"ADP","Automatic Data Pr",53.97,52.82,44.72,55.12,26.219,20.87,3066100
"AN","AutoNation, Inc. ",37.59,34.84,27.32,41.55,5.147,19.37,1088780
"AZO","AutoZone, Inc. Co",333.50,317.51,246.26,343.90,12.988,15.89,340545
"AVB","AvalonBay Communi",132.79,125.34,107.54,139.91,12.259,78.65,902894
"AVY","Avery Dennison Co",28.49,26.87,23.52,43.52,2.968,10.57,1523390
"AVP","Avon Products, In",17.25,16.45,16.09,31.60,7.396,9.94,6357240
"BHI","Baker Hughes Inco",48.96,48.52,41.91,81.00,21.282,11.93,6767670
"BLL","Ball Corporation ",35.95,34.10,29.69,40.56,5.762,13.15,1483830
"BAC","Bank of America C",5.21,5.20,4.92,15.31,53.011,,271967008
"BK","Bank of New York ",24.97,17.26,17.10,32.50,23.707,9.06,11675300
"BCR","C.R. Bard, Inc. C",112.87,81.14,80.80,113.84,7.209,22.57,835491
"BAX","Baxter Internatio",50.52,47.60,47.55,62.50,27.894,12.96,4074870
"BBT","BB&T Corporation ",24.85,23.78,18.92,29.60,17.254,15.73,7175200
"BDX","Becton, Dickinson",75.51,71.60,69.59,89.75,15.822,13.00,1739510
"BBBY","Bed Bath & Beyond",61.51,58.25,44.79,63.83,14.747,17.53,2440420
"BMS","Bemis Company, In",30.46,28.72,27.21,34.40,3.044,14.90,947017
"BRK.B","BRK.B",,,,,,,0
"BBY","Best Buy Co., Inc",23.17,22.90,21.79,36.33,8.230,7.96,6844120
"BIG","Big Lots, Inc. Co",40.00,36.66,28.89,44.44,2.506,13.52,1447210
"BIIB","Biogen Idec Inc",0.00,109.33,64.28,120.66,27.083,23.06,1874850
"BLK","BlackRock, Inc. C",176.79,167.05,137.00,209.77,31.006,13.67,911416
"HRB","H&R Block, Inc. C",16.35,15.29,11.43,18.00,4.566,14.20,3272530
"BMC","BMC Software, Inc",35.18,32.88,32.71,56.55,5.617,14.09,2696870
"BA","Boeing Company (T",73.67,73.50,56.01,80.65,54.695,14.33,6038880
"BXP","Boston Properties",99.00,97.50,81.52,112.84,14.453,89.04,1302010
"BSX","Boston Scientific",5.32,5.07,5.01,7.96,7.719,13.59,21873700
"BMY","Bristol-Myers Squ",38.00,34.21,24.97,35.29,59.800,18.07,13063800
"BRCM","Broadcom Corporat",30.43,27.80,27.59,47.39,15.572,17.49,8657040
"BF.B","BF.B",,,,,,,0
"CHRW","C.H. Robinson Wor",70.10,66.06,62.30,82.61,11.244,26.55,1111040
"CA","CA Inc.",20.80,0.00,18.61,25.68,9.897,12.14,4000570
"CVC","Cablevision Syste",14.40,13.00,11.57,38.08,3.862,11.20,3513190
"COG","Cabot Oil & Gas C",78.12,75.25,36.29,90.00,8.083,56.29,2218550
"CAM","Cameron Internati",50.35,48.73,38.77,63.16,12.194,20.92,3333330
"CPB","Campbell Soup Com",33.75,32.01,29.69,35.66,10.642,13.67,2338510
"COF","Capital One Finan",43.67,41.56,35.94,56.26,19.129,5.59,5893870
"CAH","Cardinal Health, ",41.88,39.54,37.53,47.06,14.041,15.96,2833250
"CFN","CareFusion Corpor",25.39,23.93,22.01,29.97,5.534,20.61,1768390
"KMX","CarMax Inc",39.24,29.35,22.77,37.02,6.646,17.45,2823170
"CCL","Carnival Corporat",34.19,32.50,28.52,48.14,25.634,13.38,4855030
"CAT","Caterpillar, Inc.",94.27,91.76,67.54,116.55,59.250,14.02,9827830
"CBG","CBRE Group Inc Co",25.53,14.65,12.30,29.88,4.917,19.21,5722740
"CBS","CBS Corporation C",26.50,25.50,17.99,29.68,17.100,14.70,8916050
"CELG","Celgene Corporati",0.00,64.26,48.92,68.25,29.544,27.95,3612370
"CNP","CenterPoint Energ",19.88,18.94,15.09,21.47,8.416,6.14,4438410
"CTL","CenturyLink, Inc.",38.00,36.60,31.16,46.78,22.567,23.72,6665790
"CERN","Cerner Corporatio",70.00,58.01,46.03,74.39,10.108,36.30,1567700
"CF","CF Industries Hol",139.00,135.00,115.34,192.70,9.168,7.59,2307690
"SCHW","Charles Schwab Co",11.48,10.62,10.56,19.69,14.211,16.89,14264500
